row_index,reason,original_src,original_dst
17059,dst_unresolved:NTG|ID:5475.0,TSN,NTG
17205,dst_unresolved:NTG|ID:5475.0,XMN,NTG
17316,dst_unresolved:LSA|ID:5980.0,GUR,LSA
17341,src_unresolved:LNV|ID:5979.0,LNV,POM
17342,src_unresolved:LSA|ID:5980.0,LSA,GUR
17354,dst_unresolved:TFI|ID:5984.0,PNP,TFI
17363,dst_unresolved:LNV|ID:5979.0,POM,LNV
17368,dst_unresolved:TFI|ID:5984.0,POM,TFI
17375,dst_unresolved:LNV|ID:5979.0,RAB,LNV
17380,src_unresolved:TFI|ID:5984.0,TFI,PNP
17416,src_unresolved:FSZ|ID:6476.0,FSZ,TPE
17509,dst_unresolved:FSZ|ID:6476.0,TPE,FSZ
18721,dst_unresolved:WNH|ID:7528.0,KMG,WNH
18908,src_unresolved:NTG|ID:5475.0,NTG,CAN
19304,src_unresolved:WNH|ID:7528.0,WNH,KMG
19477,dst_unresolved:NTG|ID:5475.0,YNZ,NTG
22156,src_unresolved:SZI|ID:9841.0,SZI,UKK
22170,dst_unresolved:SZI|ID:9841.0,UKK,SZI
23427,src_unresolved:GSM|ID:5712.0,GSM,SYZ
23508,dst_unresolved:GSM|ID:5712.0,SYZ,GSM
23585,src_unresolved:LGQ|ID:6750.0,LGQ,UIO
23604,dst_unresolved:LGQ|ID:6750.0,UIO,LGQ
23687,dst_unresolved:SZE|ID:9827.0,ADD,SZE
23889,dst_unresolved:SHC|ID:5601.0,MQX,SHC
23890,dst_unresolved:SZE|ID:9827.0,MQX,SZE
23923,src_unresolved:SHC|ID:5601.0,SHC,MQX
23937,src_unresolved:SZE|ID:9827.0,SZE,ADD
23938,src_unresolved:SZE|ID:9827.0,SZE,MQX
24433,src_unresolved:IGM|ID:6132.0,IGM,PGA
24444,dst_unresolved:IGM|ID:6132.0,LAX,IGM
25674,dst_unresolved:TVS|ID:8858.0,PVG,TVS
25740,src_unresolved:TVS|ID:8858.0,TVS,PVG
29271,dst_unresolved:TVS|ID:8858.0,DLC,TVS
29313,dst_unresolved:TVS|ID:8858.0,SJW,TVS
29314,src_unresolved:TVS|ID:8858.0,TVS,DLC
29315,src_unresolved:TVS|ID:8858.0,TVS,SJW
29979,dst_unresolved:IOQ|ID:nan,AGM,IOQ
29980,dst_unresolved:KUS|ID:4248.0,AGM,KUS
29981,dst_unresolved:KUZ|ID:nan,AGM,KUZ
29982,dst_unresolved:SGG|ID:nan,AGM,SGG
29983,dst_unresolved:TQI|ID:nan,AGM,TQI
29984,src_unresolved:AOQ|ID:nan,AOQ,JUV
29985,dst_unresolved:KUS|ID:4248.0,CNP,KUS
29993,dst_unresolved:KUS|ID:4248.0,GOH,KUS
29996,src_unresolved:IKE|ID:nan;dst_unresolved:SAE|ID:nan,IKE,SAE
29997,src_unresolved:IKE|ID:nan,IKE,UMD
29998,src_unresolved:IOQ|ID:nan,IOQ,AGM
29999,src_unresolved:IOT|ID:nan;dst_unresolved:JUU|ID:nan,IOT,JUU
30000,src_unresolved:IOT|ID:nan,IOT,UMD
30001,src_unresolved:IUI|ID:nan,IUI,JUV
30002,src_unresolved:IUI|ID:nan;dst_unresolved:TQA|ID:nan,IUI,TQA
30020,dst_unresolved:QJH|ID:nan,JJU,QJH
30021,dst_unresolved:QUW|ID:nan,JJU,QUW
30025,dst_unresolved:QUW|ID:nan,JNN,QUW
30026,dst_unresolved:XEQ|ID:nan,JNN,XEQ
30028,dst_unresolved:QFX|ID:nan,JNS,QFX
30034,src_unresolved:JUK|ID:nan,JUK,UMD
30035,src_unresolved:JUU|ID:nan;dst_unresolved:IOT|ID:nan,JUU,IOT
30036,src_unresolved:JUU|ID:nan,JUU,UMD
30037,dst_unresolved:AOQ|ID:nan,JUV,AOQ
30038,dst_unresolved:IUI|ID:nan,JUV,IUI
30040,dst_unresolved:KGQ|ID:nan,JUV,KGQ
30041,dst_unresolved:KHQ|ID:nan,JUV,KHQ
30043,dst_unresolved:NSQ|ID:nan,JUV,NSQ
30044,dst_unresolved:TQA|ID:nan,JUV,TQA
30045,dst_unresolved:UPK|ID:nan,JUV,UPK
30047,src_unresolved:KGQ|ID:nan,KGQ,JUV
30048,src_unresolved:KGQ|ID:nan;dst_unresolved:UPK|ID:nan,KGQ,UPK
30049,src_unresolved:KHQ|ID:nan,KHQ,JUV
30050,src_unresolved:KHQ|ID:nan;dst_unresolved:NSQ|ID:nan,KHQ,NSQ
30051,src_unresolved:KUS|ID:4248.0,KUS,AGM
30052,src_unresolved:KUS|ID:4248.0,KUS,CNP
30053,src_unresolved:KUS|ID:4248.0,KUS,GOH
30054,src_unresolved:KUS|ID:4248.0,KUS,SFJ
30055,src_unresolved:KUZ|ID:nan,KUZ,AGM
30059,dst_unresolved:SRK|ID:nan,NAQ,SRK
